area,nome_area,fascia_anagrafica,totale_popolazione
ABR,Abruzzo,12-19,94727
ABR,Abruzzo,20-29,125230
ABR,Abruzzo,30-39,146965
ABR,Abruzzo,40-49,187162
ABR,Abruzzo,50-59,208686
ABR,Abruzzo,60-69,171793
ABR,Abruzzo,70-79,137406
ABR,Abruzzo,80+,116953
BAS,Basilicata,12-19,40947
BAS,Basilicata,20-29,56285
BAS,Basilicata,30-39,61028
BAS,Basilicata,40-49,74989
BAS,Basilicata,50-59,88137
BAS,Basilicata,60-69,75455
BAS,Basilicata,70-79,51805
BAS,Basilicata,80+,46235
CAL,Calabria,12-19,147409
CAL,Calabria,20-29,199746
CAL,Calabria,30-39,223632
CAL,Calabria,40-49,260182
CAL,Calabria,50-59,287366
CAL,Calabria,60-69,246965
CAL,Calabria,70-79,185899
CAL,Calabria,80+,138517
CAM,Campania,12-19,506070
CAM,Campania,20-29,683538
CAM,Campania,30-39,712913
CAM,Campania,40-49,828348
CAM,Campania,50-59,891415
CAM,Campania,60-69,700326
CAM,Campania,70-79,477420
CAM,Campania,80+,304317
EMR,Emilia-Romagna,12-19,327410
EMR,Emilia-Romagna,20-29,419909
EMR,Emilia-Romagna,30-39,488934
EMR,Emilia-Romagna,40-49,667770
EMR,Emilia-Romagna,50-59,717140
EMR,Emilia-Romagna,60-69,551239
EMR,Emilia-Romagna,70-79,455912
EMR,Emilia-Romagna,80+,370048
FVG,Friuli-Venezia Giulia,12-19,85565
FVG,Friuli-Venezia Giulia,20-29,108149
FVG,Friuli-Venezia Giulia,30-39,121714
FVG,Friuli-Venezia Giulia,40-49,170017
FVG,Friuli-Venezia Giulia,50-59,199155
FVG,Friuli-Venezia Giulia,60-69,157635
FVG,Friuli-Venezia Giulia,70-79,140238
FVG,Friuli-Venezia Giulia,80+,105679
LAZ,Lazio,12-19,431221
LAZ,Lazio,20-29,558855
LAZ,Lazio,30-39,665641
LAZ,Lazio,40-49,879906
LAZ,Lazio,50-59,940470
LAZ,Lazio,60-69,707706
LAZ,Lazio,70-79,551447
LAZ,Lazio,80+,412287
LIG,Liguria,12-19,104067
LIG,Liguria,20-29,135690
LIG,Liguria,30-39,149277
LIG,Liguria,40-49,205625
LIG,Liguria,50-59,258629
LIG,Liguria,60-69,207406
LIG,Liguria,70-79,182496
LIG,Liguria,80+,156276
LOM,Lombardia,12-19,794486
LOM,Lombardia,20-29,997448
LOM,Lombardia,30-39,1198955
LOM,Lombardia,40-49,1565547
LOM,Lombardia,50-59,1677629
LOM,Lombardia,60-69,1240919
LOM,Lombardia,70-79,1006561
LOM,Lombardia,80+,765259
MAR,Marche,12-19,113059
MAR,Marche,20-29,143083
MAR,Marche,30-39,162308
MAR,Marche,40-49,221299
MAR,Marche,50-59,240946
MAR,Marche,60-69,196477
MAR,Marche,70-79,155940
MAR,Marche,80+,133365
MOL,Molise,12-19,20497
MOL,Molise,20-29,32122
MOL,Molise,30-39,34661
MOL,Molise,40-49,40266
MOL,Molise,50-59,46723
MOL,Molise,60-69,40925
MOL,Molise,70-79,30901
MOL,Molise,80+,27222
PAB,P.A. Bolzano,12-19,45547
PAB,P.A. Bolzano,20-29,59568
PAB,P.A. Bolzano,30-39,61738
PAB,P.A. Bolzano,40-49,74448
PAB,P.A. Bolzano,50-59,84804
PAB,P.A. Bolzano,60-69,58927
PAB,P.A. Bolzano,70-79,46417
PAB,P.A. Bolzano,80+,33732
PAT,P.A. Trento,12-19,44257
PAT,P.A. Trento,20-29,57300
PAT,P.A. Trento,30-39,59852
PAT,P.A. Trento,40-49,74852
PAT,P.A. Trento,50-59,85734
PAT,P.A. Trento,60-69,68045
PAT,P.A. Trento,70-79,52500
PAT,P.A. Trento,80+,38678
PIE,Piemonte,12-19,310481
PIE,Piemonte,20-29,410270
PIE,Piemonte,30-39,456855
PIE,Piemonte,40-49,613820
PIE,Piemonte,50-59,704089
PIE,Piemonte,60-69,567486
PIE,Piemonte,70-79,484838
PIE,Piemonte,80+,379802
PUG,Puglia,12-19,321188
PUG,Puglia,20-29,429227
PUG,Puglia,30-39,457889
PUG,Puglia,40-49,575114
PUG,Puglia,50-59,626206
PUG,Puglia,60-69,494337
PUG,Puglia,70-79,395276
PUG,Puglia,80+,272957
SAR,Sardegna,12-19,109403
SAR,Sardegna,20-29,144932
SAR,Sardegna,30-39,180233
SAR,Sardegna,40-49,248433
SAR,Sardegna,50-59,271249
SAR,Sardegna,60-69,230031
SAR,Sardegna,70-79,175751
SAR,Sardegna,80+,124768
SIC,Sicilia,12-19,406593
SIC,Sicilia,20-29,544052
SIC,Sicilia,30-39,583826
SIC,Sicilia,40-49,694418
SIC,Sicilia,50-59,755875
SIC,Sicilia,60-69,631055
SIC,Sicilia,70-79,476607
SIC,Sicilia,80+,342909
TOS,Toscana,12-19,270353
TOS,Toscana,20-29,339137
TOS,Toscana,30-39,398063
TOS,Toscana,40-49,546649
TOS,Toscana,50-59,603627
TOS,Toscana,60-69,467270
TOS,Toscana,70-79,406475
TOS,Toscana,80+,329190
UMB,Umbria,12-19,63610
UMB,Umbria,20-29,78331
UMB,Umbria,30-39,92145
UMB,Umbria,40-49,123691
UMB,Umbria,50-59,136346
UMB,Umbria,60-69,112657
UMB,Umbria,70-79,97653
UMB,Umbria,80+,85981
VDA,Valle d'Aosta,12-19,9350
VDA,Valle d'Aosta,20-29,11482
VDA,Valle d'Aosta,30-39,12482
VDA,Valle d'Aosta,40-49,17249
VDA,Valle d'Aosta,50-59,20841
VDA,Valle d'Aosta,60-69,16197
VDA,Valle d'Aosta,70-79,13030
VDA,Valle d'Aosta,80+,9751
VEN,Veneto,12-19,381274
VEN,Veneto,20-29,479355
VEN,Veneto,30-39,525221
VEN,Veneto,40-49,717331
VEN,Veneto,50-59,806474
VEN,Veneto,60-69,610635
VEN,Veneto,70-79,494721
VEN,Veneto,80+,368984
