data,forn,area,eta,m,f,d1,d2,dpi,db1,db2,db3,N1,N2,ISTAT,reg
2020-12-27,Moderna,LAZ,40-49,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI4,12.0,Lazio
2020-12-27,Moderna,SIC,90+,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,ITG,ITG1,19.0,Sicilia
2020-12-27,Pfizer/BioNTech,ABR,20-29,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF1,13.0,Abruzzo
2020-12-27,Pfizer/BioNTech,ABR,30-39,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF1,13.0,Abruzzo
2020-12-27,Pfizer/BioNTech,ABR,40-49,1.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF1,13.0,Abruzzo
2020-12-27,Pfizer/BioNTech,ABR,50-59,7.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF1,13.0,Abruzzo
2020-12-27,Pfizer/BioNTech,ABR,60-69,12.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF1,13.0,Abruzzo
2020-12-27,Pfizer/BioNTech,ABR,70-79,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF1,13.0,Abruzzo
2020-12-27,Pfizer/BioNTech,ABR,80-89,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF1,13.0,Abruzzo
2020-12-27,Pfizer/BioNTech,BAS,20-29,4.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF5,17.0,Basilicata
2020-12-27,Pfizer/BioNTech,BAS,30-39,10.0,18.0,28.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF5,17.0,Basilicata
2020-12-27,Pfizer/BioNTech,BAS,40-49,7.0,24.0,31.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF5,17.0,Basilicata
2020-12-27,Pfizer/BioNTech,BAS,50-59,11.0,15.0,26.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF5,17.0,Basilicata
2020-12-27,Pfizer/BioNTech,BAS,60-69,9.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF5,17.0,Basilicata
2020-12-27,Pfizer/BioNTech,CAL,20-29,18.0,42.0,60.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF6,18.0,Calabria
2020-12-27,Pfizer/BioNTech,CAL,30-39,25.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF6,18.0,Calabria
2020-12-27,Pfizer/BioNTech,CAL,40-49,25.0,32.0,57.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF6,18.0,Calabria
2020-12-27,Pfizer/BioNTech,CAL,50-59,57.0,31.0,88.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF6,18.0,Calabria
2020-12-27,Pfizer/BioNTech,CAL,60-69,46.0,18.0,64.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF6,18.0,Calabria
2020-12-27,Pfizer/BioNTech,CAM,20-29,27.0,33.0,60.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF3,15.0,Campania
2020-12-27,Pfizer/BioNTech,CAM,30-39,61.0,64.0,125.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF3,15.0,Campania
2020-12-27,Pfizer/BioNTech,CAM,40-49,80.0,87.0,167.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF3,15.0,Campania
2020-12-27,Pfizer/BioNTech,CAM,50-59,119.0,77.0,196.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF3,15.0,Campania
2020-12-27,Pfizer/BioNTech,CAM,60-69,131.0,37.0,167.0,0.0,1.0,0.0,0.0,0.0,ITF,ITF3,15.0,Campania
2020-12-27,Pfizer/BioNTech,CAM,70-79,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF3,15.0,Campania
2020-12-27,Pfizer/BioNTech,EMR,20-29,53.0,86.0,139.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH5,8.0,Emilia-Romagna
2020-12-27,Pfizer/BioNTech,EMR,30-39,58.0,83.0,141.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH5,8.0,Emilia-Romagna
2020-12-27,Pfizer/BioNTech,EMR,40-49,80.0,148.0,228.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH5,8.0,Emilia-Romagna
2020-12-27,Pfizer/BioNTech,EMR,50-59,71.0,217.0,288.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH5,8.0,Emilia-Romagna
2020-12-27,Pfizer/BioNTech,EMR,60-69,100.0,51.0,151.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH5,8.0,Emilia-Romagna
2020-12-27,Pfizer/BioNTech,EMR,70-79,10.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH5,8.0,Emilia-Romagna
2020-12-27,Pfizer/BioNTech,EMR,80-89,2.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH5,8.0,Emilia-Romagna
2020-12-27,Pfizer/BioNTech,EMR,90+,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH5,8.0,Emilia-Romagna
2020-12-27,Pfizer/BioNTech,FVG,20-29,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH4,6.0,Friuli-Venezia Giulia
2020-12-27,Pfizer/BioNTech,FVG,30-39,9.0,7.0,16.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH4,6.0,Friuli-Venezia Giulia
2020-12-27,Pfizer/BioNTech,FVG,40-49,17.0,33.0,50.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH4,6.0,Friuli-Venezia Giulia
2020-12-27,Pfizer/BioNTech,FVG,50-59,59.0,46.0,105.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH4,6.0,Friuli-Venezia Giulia
2020-12-27,Pfizer/BioNTech,FVG,60-69,62.0,23.0,85.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH4,6.0,Friuli-Venezia Giulia
2020-12-27,Pfizer/BioNTech,FVG,70-79,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH4,6.0,Friuli-Venezia Giulia
2020-12-27,Pfizer/BioNTech,LAZ,20-29,32.0,32.0,64.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI4,12.0,Lazio
2020-12-27,Pfizer/BioNTech,LAZ,30-39,39.0,41.0,80.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI4,12.0,Lazio
2020-12-27,Pfizer/BioNTech,LAZ,40-49,20.0,33.0,52.0,0.0,1.0,0.0,0.0,0.0,ITI,ITI4,12.0,Lazio
2020-12-27,Pfizer/BioNTech,LAZ,50-59,26.0,30.0,56.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI4,12.0,Lazio
2020-12-27,Pfizer/BioNTech,LAZ,60-69,16.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI4,12.0,Lazio
2020-12-27,Pfizer/BioNTech,LIG,20-29,6.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC3,7.0,Liguria
2020-12-27,Pfizer/BioNTech,LIG,30-39,10.0,14.0,24.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC3,7.0,Liguria
2020-12-27,Pfizer/BioNTech,LIG,40-49,6.0,14.0,20.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC3,7.0,Liguria
2020-12-27,Pfizer/BioNTech,LIG,50-59,16.0,19.0,35.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC3,7.0,Liguria
2020-12-27,Pfizer/BioNTech,LIG,60-69,13.0,4.0,16.0,0.0,1.0,0.0,0.0,0.0,ITC,ITC3,7.0,Liguria
2020-12-27,Pfizer/BioNTech,LIG,70-79,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC3,7.0,Liguria
2020-12-27,Pfizer/BioNTech,LIG,80-89,2.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC3,7.0,Liguria
2020-12-27,Pfizer/BioNTech,LIG,90+,1.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC3,7.0,Liguria
2020-12-27,Pfizer/BioNTech,LOM,20-29,20.0,22.0,42.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC4,3.0,Lombardia
2020-12-27,Pfizer/BioNTech,LOM,30-39,31.0,33.0,64.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC4,3.0,Lombardia
2020-12-27,Pfizer/BioNTech,LOM,40-49,62.0,81.0,142.0,0.0,1.0,0.0,0.0,0.0,ITC,ITC4,3.0,Lombardia
2020-12-27,Pfizer/BioNTech,LOM,50-59,115.0,119.0,234.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC4,3.0,Lombardia
2020-12-27,Pfizer/BioNTech,LOM,60-69,160.0,41.0,201.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC4,3.0,Lombardia
2020-12-27,Pfizer/BioNTech,LOM,70-79,21.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC4,3.0,Lombardia
2020-12-27,Pfizer/BioNTech,LOM,80-89,4.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC4,3.0,Lombardia
2020-12-27,Pfizer/BioNTech,LOM,90+,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC4,3.0,Lombardia
2020-12-27,Pfizer/BioNTech,MAR,30-39,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI3,11.0,Marche
2020-12-27,Pfizer/BioNTech,MAR,40-49,3.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI3,11.0,Marche
2020-12-27,Pfizer/BioNTech,MAR,50-59,8.0,15.0,23.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI3,11.0,Marche
2020-12-27,Pfizer/BioNTech,MAR,60-69,9.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI3,11.0,Marche
2020-12-27,Pfizer/BioNTech,MAR,70-79,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI3,11.0,Marche
2020-12-27,Pfizer/BioNTech,MAR,80-89,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI3,11.0,Marche
2020-12-27,Pfizer/BioNTech,MAR,90+,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI3,11.0,Marche
2020-12-27,Pfizer/BioNTech,MOL,20-29,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF2,14.0,Molise
2020-12-27,Pfizer/BioNTech,MOL,30-39,4.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF2,14.0,Molise
2020-12-27,Pfizer/BioNTech,MOL,40-49,4.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF2,14.0,Molise
2020-12-27,Pfizer/BioNTech,MOL,50-59,5.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF2,14.0,Molise
2020-12-27,Pfizer/BioNTech,MOL,60-69,4.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,ITF,ITF2,14.0,Molise
2020-12-27,Pfizer/BioNTech,MOL,70-79,1.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,ITF,ITF2,14.0,Molise
2020-12-27,Pfizer/BioNTech,MOL,80-89,0.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,ITF,ITF2,14.0,Molise
2020-12-27,Pfizer/BioNTech,MOL,90+,2.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,ITF,ITF2,14.0,Molise
2020-12-27,Pfizer/BioNTech,PAB,20-29,1.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH1,4.0,Provincia Autonoma Bolzano / Bozen
2020-12-27,Pfizer/BioNTech,PAB,30-39,10.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH1,4.0,Provincia Autonoma Bolzano / Bozen
2020-12-27,Pfizer/BioNTech,PAB,40-49,18.0,28.0,46.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH1,4.0,Provincia Autonoma Bolzano / Bozen
2020-12-27,Pfizer/BioNTech,PAB,50-59,26.0,28.0,54.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH1,4.0,Provincia Autonoma Bolzano / Bozen
2020-12-27,Pfizer/BioNTech,PAB,60-69,9.0,7.0,16.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH1,4.0,Provincia Autonoma Bolzano / Bozen
2020-12-27,Pfizer/BioNTech,PAB,70-79,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH1,4.0,Provincia Autonoma Bolzano / Bozen
2020-12-27,Pfizer/BioNTech,PAB,80-89,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH1,4.0,Provincia Autonoma Bolzano / Bozen
2020-12-27,Pfizer/BioNTech,PAT,20-29,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH2,4.0,Provincia Autonoma Trento
2020-12-27,Pfizer/BioNTech,PAT,30-39,2.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH2,4.0,Provincia Autonoma Trento
2020-12-27,Pfizer/BioNTech,PAT,40-49,8.0,17.0,25.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH2,4.0,Provincia Autonoma Trento
2020-12-27,Pfizer/BioNTech,PAT,50-59,10.0,19.0,29.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH2,4.0,Provincia Autonoma Trento
2020-12-27,Pfizer/BioNTech,PAT,60-69,16.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH2,4.0,Provincia Autonoma Trento
2020-12-27,Pfizer/BioNTech,PAT,70-79,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH2,4.0,Provincia Autonoma Trento
2020-12-27,Pfizer/BioNTech,PAT,80-89,1.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH2,4.0,Provincia Autonoma Trento
2020-12-27,Pfizer/BioNTech,PAT,90+,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH2,4.0,Provincia Autonoma Trento
2020-12-27,Pfizer/BioNTech,PIE,20-29,26.0,63.0,89.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC1,1.0,Piemonte
2020-12-27,Pfizer/BioNTech,PIE,30-39,61.0,85.0,146.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC1,1.0,Piemonte
2020-12-27,Pfizer/BioNTech,PIE,40-49,68.0,135.0,203.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC1,1.0,Piemonte
2020-12-27,Pfizer/BioNTech,PIE,50-59,105.0,191.0,294.0,0.0,2.0,0.0,0.0,0.0,ITC,ITC1,1.0,Piemonte
2020-12-27,Pfizer/BioNTech,PIE,60-69,94.0,37.0,131.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC1,1.0,Piemonte
2020-12-27,Pfizer/BioNTech,PIE,70-79,9.0,10.0,19.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC1,1.0,Piemonte
2020-12-27,Pfizer/BioNTech,PIE,80-89,5.0,19.0,24.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC1,1.0,Piemonte
2020-12-27,Pfizer/BioNTech,PIE,90+,5.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC1,1.0,Piemonte
2020-12-27,Pfizer/BioNTech,PUG,20-29,18.0,34.0,52.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF4,16.0,Puglia
2020-12-27,Pfizer/BioNTech,PUG,30-39,32.0,54.0,86.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF4,16.0,Puglia
2020-12-27,Pfizer/BioNTech,PUG,40-49,35.0,43.0,78.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF4,16.0,Puglia
2020-12-27,Pfizer/BioNTech,PUG,50-59,69.0,62.0,131.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF4,16.0,Puglia
2020-12-27,Pfizer/BioNTech,PUG,60-69,80.0,20.0,100.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF4,16.0,Puglia
2020-12-27,Pfizer/BioNTech,PUG,70-79,9.0,8.0,17.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF4,16.0,Puglia
2020-12-27,Pfizer/BioNTech,PUG,80-89,6.0,23.0,29.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF4,16.0,Puglia
2020-12-27,Pfizer/BioNTech,PUG,90+,3.0,14.0,17.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF4,16.0,Puglia
2020-12-27,Pfizer/BioNTech,SAR,20-29,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,ITG,ITG2,20.0,Sardegna
2020-12-27,Pfizer/BioNTech,SAR,30-39,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,ITG,ITG2,20.0,Sardegna
2020-12-27,Pfizer/BioNTech,SAR,40-49,3.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,ITG,ITG2,20.0,Sardegna
2020-12-27,Pfizer/BioNTech,SAR,50-59,12.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,ITG,ITG2,20.0,Sardegna
2020-12-27,Pfizer/BioNTech,SAR,60-69,21.0,8.0,29.0,0.0,0.0,0.0,0.0,0.0,ITG,ITG2,20.0,Sardegna
2020-12-27,Pfizer/BioNTech,SAR,70-79,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ITG,ITG2,20.0,Sardegna
2020-12-27,Pfizer/BioNTech,SIC,20-29,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,ITG,ITG1,19.0,Sicilia
2020-12-27,Pfizer/BioNTech,SIC,30-39,7.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,ITG,ITG1,19.0,Sicilia
2020-12-27,Pfizer/BioNTech,SIC,40-49,16.0,9.0,25.0,0.0,0.0,0.0,0.0,0.0,ITG,ITG1,19.0,Sicilia
2020-12-27,Pfizer/BioNTech,SIC,50-59,22.0,8.0,30.0,0.0,0.0,0.0,0.0,0.0,ITG,ITG1,19.0,Sicilia
2020-12-27,Pfizer/BioNTech,SIC,60-69,38.0,10.0,48.0,0.0,0.0,0.0,0.0,0.0,ITG,ITG1,19.0,Sicilia
2020-12-27,Pfizer/BioNTech,SIC,70-79,10.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,ITG,ITG1,19.0,Sicilia
2020-12-27,Pfizer/BioNTech,SIC,80-89,2.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,ITG,ITG1,19.0,Sicilia
2020-12-27,Pfizer/BioNTech,SIC,90+,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,ITG,ITG1,19.0,Sicilia
2020-12-27,Pfizer/BioNTech,TOS,20-29,21.0,29.0,50.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI1,9.0,Toscana
2020-12-27,Pfizer/BioNTech,TOS,30-39,51.0,64.0,115.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI1,9.0,Toscana
2020-12-27,Pfizer/BioNTech,TOS,40-49,53.0,99.0,152.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI1,9.0,Toscana
2020-12-27,Pfizer/BioNTech,TOS,50-59,73.0,114.0,187.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI1,9.0,Toscana
2020-12-27,Pfizer/BioNTech,TOS,60-69,67.0,41.0,107.0,0.0,1.0,0.0,0.0,0.0,ITI,ITI1,9.0,Toscana
2020-12-27,Pfizer/BioNTech,TOS,70-79,8.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI1,9.0,Toscana
2020-12-27,Pfizer/BioNTech,TOS,80-89,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI1,9.0,Toscana
2020-12-27,Pfizer/BioNTech,TOS,90+,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI1,9.0,Toscana
2020-12-27,Pfizer/BioNTech,UMB,20-29,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI2,10.0,Umbria
2020-12-27,Pfizer/BioNTech,UMB,30-39,8.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI2,10.0,Umbria
2020-12-27,Pfizer/BioNTech,UMB,40-49,4.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI2,10.0,Umbria
2020-12-27,Pfizer/BioNTech,UMB,50-59,10.0,15.0,25.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI2,10.0,Umbria
2020-12-27,Pfizer/BioNTech,UMB,60-69,24.0,6.0,30.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI2,10.0,Umbria
2020-12-27,Pfizer/BioNTech,UMB,70-79,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI2,10.0,Umbria
2020-12-27,Pfizer/BioNTech,UMB,80-89,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI2,10.0,Umbria
2020-12-27,Pfizer/BioNTech,UMB,90+,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI2,10.0,Umbria
2020-12-27,Pfizer/BioNTech,VDA,20-29,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC2,2.0,Valle d'Aosta / Vallée d'Aoste
2020-12-27,Pfizer/BioNTech,VDA,30-39,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC2,2.0,Valle d'Aosta / Vallée d'Aoste
2020-12-27,Pfizer/BioNTech,VDA,40-49,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC2,2.0,Valle d'Aosta / Vallée d'Aoste
2020-12-27,Pfizer/BioNTech,VDA,50-59,4.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC2,2.0,Valle d'Aosta / Vallée d'Aoste
2020-12-27,Pfizer/BioNTech,VDA,60-69,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC2,2.0,Valle d'Aosta / Vallée d'Aoste
